VaccineCoverage;Year;Country;Population
0;2024;Finland;5637214
1;2024;Finland;5637214
2;2024;Finland;5637214
3;2024;Finland;5637214
4;2024;Finland;5637214
5;2024;Finland;5637214
6;2024;Finland;5637214
7;2024;Finland;5637214
8;2024;Finland;5637214
9;2024;Finland;5637214
10;2024;Finland;5637214
11;2024;Finland;5637214
12;2024;Finland;5637214
13;2024;Finland;5637214
14;2024;Finland;5637214
15;2024;Finland;5637214
16;2024;Finland;5637214
17;2024;Finland;5637214
18;2024;Finland;5637214
19;2024;Finland;5637214
20;2024;Finland;5637214
21;2024;Finland;5637214
22;2024;Finland;5637214
23;2024;Finland;5637214
24;2024;Finland;5637214
25;2024;Finland;5637214
26;2024;Finland;5637214
27;2024;Finland;5637214
28;2024;Finland;5637214
29;2024;Finland;5637214
30;2024;Finland;5637214
31;2024;Finland;5637214
32;2024;Finland;5637214
33;2024;Finland;5637214
34;2024;Finland;5637214
35;2024;Finland;5637214
36;2024;Finland;5637214
37;2024;Finland;5637214
38;2024;Finland;5637214
39;2024;Finland;5637214
40;2024;Finland;5637214
41;2024;Finland;5637214
42;2024;Finland;5637214
43;2024;Finland;5637214
44;2024;Finland;5637214
45;2024;Finland;5637214
46;2024;Finland;5637214
47;2024;Finland;5637214
48;2024;Finland;5637214
49;2024;Finland;5637214
50;2024;Finland;5637214
51;2024;Finland;5637214
52;2024;Finland;5637214
53;2024;Finland;5637214
54;2024;Finland;5637214
55;2024;Finland;5637214
56;2024;Finland;5637214
57;2024;Finland;5637214
58;2024;Finland;5637214
59;2024;Finland;5637214
60;2024;Finland;5637214
61;2024;Finland;5637214
62;2024;Finland;5637214
63;2024;Finland;5637214
64;2024;Finland;5637214
65;2024;Finland;5637214
66;2024;Finland;5637214
67;2024;Finland;5637214
68;2024;Finland;5637214
69;2024;Finland;5637214
70;2024;Finland;5637214
71;2024;Finland;5637214
72;2024;Finland;5637214
73;2024;Finland;5637214
74;2024;Finland;5637214
75;2024;Finland;5637214
76;2024;Finland;5637214
77;2024;Finland;5637214
78;2024;Finland;5637214
79;2024;Finland;5637214
80;2024;Finland;5637214
81;2024;Finland;5637214
82;2024;Finland;5637214
83;2024;Finland;5637214
84;2024;Finland;5637214
85;2024;Finland;5637214
86;2024;Finland;5637214
87;2024;Finland;5637214
88;2024;Finland;5637214
89;2024;Finland;5637214
90;2024;Finland;5637214
91;2024;Finland;5637214
92;2024;Finland;5637214
93;2024;Finland;5637214
94;2024;Finland;5637214
95;2024;Finland;5637214
96;2024;Finland;5637214
97;2024;Finland;5637214
98;2024;Finland;5637214
99;2024;Finland;5637214
100;2024;Finland;5637214
